epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.917171,0.0103,4.822152,0.0085,0.0102,1.22
5,4.717190,0.0112,4.771420,0.0067,0.0082,4.42
10,4.674943,0.0192,4.781712,0.0071,0.0061,7.47
15,4.624141,0.0289,4.812302,0.0042,0.0054,10.47
20,4.556685,0.0416,4.853412,0.0044,0.0068,13.46
25,4.470243,0.0504,4.917697,0.0043,0.0068,16.44
30,4.361552,0.0652,5.019998,0.0048,0.0068,19.64
35,4.228906,0.0855,5.158234,0.0061,0.0088,22.67
40,4.072509,0.1074,5.330985,0.0086,0.0102,25.84
45,3.893769,0.1360,5.530307,0.0104,0.0143,29.06
50,3.695746,0.1720,5.745506,0.0138,0.0177,32.14
55,3.480587,0.2077,5.974050,0.0166,0.0252,35.29
60,3.250676,0.2531,6.219578,0.0226,0.0374,38.46
65,3.007742,0.3041,6.492422,0.0321,0.0408,41.52
70,2.753334,0.3490,6.798900,0.0427,0.0531,44.75
75,2.487289,0.3976,7.151388,0.0573,0.0688,47.83
80,2.210437,0.4513,7.563175,0.0757,0.0858,50.99
85,1.929611,0.5189,8.013479,0.1004,0.1021,53.90
90,1.648231,0.5926,8.528818,0.1284,0.1157,56.87
95,1.365059,0.6761,9.126023,0.1592,0.1443,59.72
100,1.088349,0.7681,9.841981,0.1915,0.1722,62.75
105,0.837036,0.8395,10.663765,0.2161,0.1933,65.69
110,0.622745,0.8947,11.541668,0.2339,0.2144,68.64
115,0.456672,0.9257,12.478596,0.2442,0.2219,71.61
120,0.337863,0.9383,13.453618,0.2478,0.2240,74.33
125,0.259929,0.9440,14.392782,0.2488,0.2253,77.07
130,0.211282,0.9478,15.227686,0.2506,0.2260,79.88
135,0.181000,0.9499,15.927472,0.2507,0.2274,82.88
140,0.161322,0.9507,16.475840,0.2513,0.2294,85.83
145,0.148428,0.9528,16.880424,0.2520,0.2308,88.77
150,0.138554,0.9555,17.164427,0.2523,0.2314,91.77
155,0.131076,0.9563,17.357868,0.2523,0.2321,94.65
160,0.123967,0.9572,17.473391,0.2531,0.2342,97.54
165,0.118590,0.9587,17.544756,0.2536,0.2349,100.63
170,0.116229,0.9602,17.558867,0.2537,0.2355,103.53
175,0.111896,0.9605,17.540667,0.2536,0.2355,106.45
180,0.109446,0.9617,17.506269,0.2540,0.2342,109.34
185,0.107302,0.9622,17.470833,0.2536,0.2369,112.14
190,0.104962,0.9622,17.431629,0.2540,0.2369,115.15
195,0.102404,0.9628,17.395523,0.2549,0.2376,118.06
200,0.100185,0.9634,17.364498,0.2546,0.2376,120.91
205,0.098337,0.9646,17.348961,0.2547,0.2383,124.00
210,0.096674,0.9655,17.339529,0.2547,0.2376,127.13
215,0.095033,0.9652,17.329565,0.2555,0.2376,131.13
220,0.092761,0.9664,17.310402,0.2552,0.2383,135.22
225,0.090501,0.9673,17.303400,0.2555,0.2376,138.51
230,0.088027,0.9678,17.310827,0.2558,0.2403,141.52
235,0.085159,0.9684,17.321692,0.2563,0.2410,144.37
240,0.082376,0.9702,17.349108,0.2568,0.2417,147.26
245,0.078637,0.9720,17.377506,0.2566,0.2423,150.27
250,0.076296,0.9723,17.408398,0.2565,0.2430,153.22
255,0.074716,0.9726,17.444563,0.2564,0.2417,156.06
260,0.072697,0.9720,17.455877,0.2566,0.2430,159.21
265,0.071150,0.9720,17.469921,0.2569,0.2423,162.31
270,0.069619,0.9735,17.472721,0.2566,0.2430,165.29
275,0.068577,0.9732,17.480406,0.2573,0.2430,168.27
280,0.066864,0.9743,17.462271,0.2574,0.2430,171.17
285,0.065583,0.9746,17.446264,0.2569,0.2437,174.10
290,0.064711,0.9743,17.411764,0.2579,0.2457,177.25
295,0.063013,0.9758,17.372519,0.2579,0.2437,180.10
300,0.061149,0.9770,17.307293,0.2585,0.2444,182.96
305,0.059248,0.9767,17.258097,0.2585,0.2451,185.91
310,0.057081,0.9779,17.222334,0.2583,0.2451,188.87
315,0.055368,0.9788,17.207479,0.2585,0.2457,191.79
320,0.053332,0.9796,17.201227,0.2589,0.2464,194.70
