epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.937603,0.0102,4.825829,0.0087,,1.18
5,4.718985,0.0128,4.771939,0.0066,,4.65
10,4.676250,0.0222,4.787683,0.0058,,7.98
15,4.626195,0.0295,4.812393,0.0066,,11.46
20,4.563744,0.0436,4.852151,0.0057,,14.68
25,4.482944,0.0587,4.915066,0.0047,,17.96
30,4.382936,0.0637,5.009060,0.0041,,21.18
35,4.262545,0.0825,5.139816,0.0051,,24.37
40,4.124662,0.0979,5.298676,0.0063,,27.53
45,3.969386,0.1292,5.466853,0.0087,,30.86
50,3.795527,0.1611,5.637420,0.0111,,34.24
55,3.604025,0.1932,5.821180,0.0150,,37.60
60,3.399026,0.2269,6.033834,0.0186,,40.81
65,3.182617,0.2765,6.268101,0.0249,,44.06
70,2.955359,0.3133,6.524220,0.0318,,47.21
75,2.715977,0.3538,6.805523,0.0421,,50.44
80,2.464277,0.4133,7.121262,0.0583,,53.60
85,2.198698,0.4668,7.480615,0.0743,,56.78
90,1.927301,0.5298,7.875494,0.0949,,60.23
95,1.656007,0.5969,8.326149,0.1193,,63.44
100,1.382113,0.6786,8.868595,0.1452,,66.61
105,1.114151,0.7632,9.505300,0.1740,,69.96
110,0.864941,0.8287,10.255810,0.1985,,73.24
115,0.650760,0.8841,11.086572,0.2207,,76.41
120,0.484946,0.9144,11.973461,0.2375,,79.67
125,0.367303,0.9238,12.882930,0.2453,,82.89
130,0.291140,0.9305,13.751762,0.2489,,85.82
135,0.243303,0.9358,14.526396,0.2516,,88.93
140,0.212564,0.9371,15.164141,0.2525,,92.01
145,0.191866,0.9405,15.663130,0.2538,,94.98
150,0.177959,0.9418,16.029720,0.2533,,97.94
155,0.166344,0.9446,16.288919,0.2522,,101.36
160,0.157123,0.9465,16.462194,0.2520,,104.77
165,0.148975,0.9486,16.585169,0.2511,,108.19
170,0.141414,0.9499,16.670637,0.2511,,111.47
175,0.134086,0.9525,16.734577,0.2519,,114.61
180,0.127576,0.9548,16.785408,0.2528,,117.83
185,0.121829,0.9551,16.831165,0.2522,,121.03
190,0.117703,0.9567,16.869299,0.2501,,124.20
195,0.113140,0.9587,16.894054,0.2498,,127.39
200,0.109513,0.9606,16.904160,0.2501,,130.61
205,0.105278,0.9601,16.915329,0.2491,,133.91
210,0.101933,0.9621,16.924156,0.2497,,137.25
215,0.098238,0.9616,16.939749,0.2481,,140.58
220,0.094809,0.9653,16.951529,0.2475,,143.94
225,0.091472,0.9645,16.969452,0.2464,,147.16
230,0.088506,0.9655,16.985229,0.2459,,150.50
235,0.085576,0.9679,17.007038,0.2468,,153.63
240,0.082453,0.9676,17.024961,0.2469,,156.83
245,0.079890,0.9687,17.052589,0.2470,,160.25
250,0.077440,0.9687,17.063808,0.2466,,164.06
255,0.074659,0.9708,17.069971,0.2454,,167.53
260,0.071889,0.9718,17.075619,0.2457,,171.03
265,0.068941,0.9734,17.076893,0.2460,,174.39
270,0.066609,0.9747,17.066017,0.2454,,177.82
275,0.064881,0.9747,17.055719,0.2454,,181.29
280,0.062502,0.9755,17.045290,0.2450,,184.75
285,0.060738,0.9770,17.014906,0.2462,,188.12
290,0.058425,0.9783,16.968454,0.2459,,191.50
295,0.055607,0.9794,16.927652,0.2462,,194.96
300,0.053258,0.9799,16.890553,0.2448,,198.12
305,0.050980,0.9802,16.871056,0.2450,,201.40
310,0.048642,0.9807,16.854355,0.2454,,204.57
315,0.046247,0.9836,16.853455,0.2457,,207.86
320,0.043685,0.9833,16.867214,0.2445,,210.93
325,0.041038,0.9836,16.893398,0.2444,,214.04
330,0.038945,0.9838,16.929642,0.2447,,217.22
335,0.037229,0.9851,16.975368,0.2453,,220.53
340,0.035734,0.9856,17.029806,0.2457,,223.61
345,0.034799,0.9862,17.064384,0.2460,,226.70
350,0.031980,0.9880,17.081312,0.2459,,229.88
355,0.029647,0.9869,17.089569,0.2451,,233.11
360,0.028023,0.9893,17.103407,0.2449,,236.19
365,0.025890,0.9903,17.116287,0.2457,,239.80
370,0.023623,0.9911,17.143303,0.2471,,243.26
375,0.022065,0.9922,17.180685,0.2477,,246.59
380,0.020623,0.9922,17.218193,0.2477,,249.92
385,0.019306,0.9930,17.256691,0.2469,,253.02
390,0.018202,0.9932,17.290670,0.2472,,256.11
395,0.017207,0.9935,17.313950,0.2492,,259.16
400,0.016448,0.9937,17.329641,0.2486,,262.50
405,0.015553,0.9945,17.346201,0.2481,,265.56
410,0.014752,0.9948,17.357479,0.2478,,268.64
415,0.014013,0.9950,17.356441,0.2470,,271.86
420,0.013462,0.9953,17.353350,0.2477,,275.13
425,0.012674,0.9953,17.341932,0.2486,,278.16
430,0.012902,0.9963,17.315113,0.2492,,281.62
435,0.012278,0.9969,17.289865,0.2495,,285.14
440,0.011123,0.9966,17.299456,0.2477,,288.54
445,0.010214,0.9971,17.321466,0.2503,,292.01
450,0.009504,0.9969,17.357794,0.2495,,295.21
455,0.008890,0.9977,17.387793,0.2504,,298.62
460,0.008312,0.9974,17.423210,0.2507,,301.99
465,0.008179,0.9979,17.450998,0.2507,,305.25
470,0.007189,0.9979,17.458967,0.2513,,308.60
475,0.006767,0.9982,17.462797,0.2519,,311.92
480,0.006108,0.9987,17.460896,0.2517,,315.28
485,0.005710,0.9987,17.462214,0.2527,,318.67
490,0.005462,0.9987,17.474754,0.2535,,321.88
495,0.005212,0.9990,17.490400,0.2548,,325.16
500,0.005126,0.9987,17.512241,0.2551,,328.34
505,0.004870,0.9987,17.522930,0.2551,,331.64
510,0.004747,0.9984,17.534567,0.2552,,334.88
515,0.004604,0.9990,17.547935,0.2555,,338.15
520,0.004381,0.9990,17.564287,0.2560,,341.31
525,0.004171,0.9990,17.586012,0.2560,,344.46
530,0.004112,0.9992,17.612432,0.2560,,347.53
535,0.003835,0.9992,17.639315,0.2562,,350.65
540,0.003553,0.9992,17.671688,0.2569,,353.82
545,0.003433,0.9992,17.708778,0.2572,,357.05
550,0.003401,0.9992,17.743145,0.2574,,360.39
555,0.003204,0.9992,17.772440,0.2574,,363.84
560,0.003147,0.9992,17.804762,0.2575,,367.15
565,0.003001,0.9992,17.835791,0.2576,,370.64
570,0.002963,0.9992,17.866560,0.2574,,374.05
575,0.002850,0.9992,17.897852,0.2574,,377.45
580,0.002814,0.9992,17.927471,0.2579,,380.50
585,0.002736,0.9992,17.955906,0.2575,,383.69
590,0.002626,0.9992,17.989054,0.2573,,386.88
595,0.002669,0.9997,18.025126,0.2572,,389.96
600,0.003402,0.9992,18.032042,0.2554,,393.00
605,0.003273,0.9990,17.992655,0.2577,,396.04
610,0.002886,0.9992,17.972214,0.2575,,399.19
615,0.002430,0.9997,17.983402,0.2574,,402.44
620,0.001998,0.9997,18.012226,0.2582,,405.68
625,0.001844,0.9997,18.021267,0.2572,,408.96
630,0.001738,0.9997,18.033894,0.2586,,412.35
635,0.001657,0.9997,18.041981,0.2591,,415.72
640,0.001593,1.0000,18.051199,0.2591,,419.15
645,0.001544,0.9997,18.060572,0.2595,,422.33
650,0.001554,0.9997,18.064476,0.2601,,425.33
655,0.001463,0.9997,18.063520,0.2599,,428.40
660,0.002037,0.9997,18.067133,0.2594,,431.63
665,0.001824,1.0000,18.062143,0.2586,,434.72
670,0.001666,1.0000,18.037243,0.2585,,437.76
675,0.001405,1.0000,18.053621,0.2595,,440.95
680,0.001236,1.0000,18.105850,0.2594,,444.28
685,0.001119,1.0000,18.150650,0.2592,,447.44
690,0.001027,1.0000,18.177834,0.2603,,450.61
695,0.000967,1.0000,18.189226,0.2619,,454.01
700,0.000922,1.0000,18.194527,0.2611,,457.34
705,0.000890,1.0000,18.198193,0.2613,,460.84
710,0.000862,1.0000,18.204130,0.2607,,464.47
715,0.000837,1.0000,18.214577,0.2614,,467.90
720,0.000812,1.0000,18.230928,0.2620,,471.29
725,0.000786,1.0000,18.252895,0.2621,,474.67
730,0.000758,1.0000,18.283932,0.2622,,478.04
735,0.000728,1.0000,18.321724,0.2620,,481.45
740,0.000698,1.0000,18.366663,0.2620,,484.81
745,0.000667,1.0000,18.416029,0.2623,,488.17
750,0.000636,1.0000,18.469416,0.2624,,491.56
755,0.000606,1.0000,18.526184,0.2621,,494.90
760,0.000577,1.0000,18.585888,0.2621,,498.17
765,0.000548,1.0000,18.647615,0.2622,,501.51
770,0.000521,1.0000,18.709934,0.2622,,504.87
775,0.000495,1.0000,18.772446,0.2622,,508.27
780,0.000471,1.0000,18.834875,0.2621,,511.68
785,0.000447,1.0000,18.897648,0.2622,,515.07
790,0.000425,1.0000,18.960714,0.2623,,518.48
795,0.000404,1.0000,19.023842,0.2624,,521.89
800,0.000384,1.0000,19.087259,0.2627,,525.33
805,0.000365,1.0000,19.150614,0.2628,,528.64
810,0.000347,1.0000,19.213634,0.2628,,532.01
815,0.000330,1.0000,19.277191,0.2626,,535.37
820,0.000313,1.0000,19.340679,0.2623,,538.78
825,0.000298,1.0000,19.403246,0.2623,,542.19
830,0.000283,1.0000,19.466480,0.2627,,545.45
835,0.000269,1.0000,19.529722,0.2627,,548.63
840,0.000256,1.0000,19.593468,0.2628,,551.93
845,0.000243,1.0000,19.657726,0.2630,,555.28
850,0.000231,1.0000,19.721500,0.2631,,558.60
855,0.000220,1.0000,19.785177,0.2633,,561.90
860,0.000209,1.0000,19.849239,0.2631,,565.25
865,0.000198,1.0000,19.913534,0.2631,,568.57
870,0.000188,1.0000,19.977661,0.2631,,571.84
875,0.000179,1.0000,20.041988,0.2632,,575.07
880,0.000170,1.0000,20.106314,0.2633,,578.41
885,0.000162,1.0000,20.170139,0.2633,,581.82
890,0.000154,1.0000,20.234684,0.2633,,585.28
895,0.000146,1.0000,20.298735,0.2633,,588.62
900,0.000139,1.0000,20.363243,0.2635,,591.91
905,0.000132,1.0000,20.427721,0.2633,,595.31
910,0.000125,1.0000,20.492460,0.2630,,598.71
915,0.000119,1.0000,20.557220,0.2632,,602.20
920,0.000113,1.0000,20.622095,0.2632,,605.49
925,0.000108,1.0000,20.686890,0.2635,,608.83
930,0.000102,1.0000,20.752092,0.2636,,612.39
