epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,5.075701,0.0083,4.854674,0.0075,0.0102,1.25
5,4.734824,0.0094,4.784977,0.0087,0.0095,4.30
10,4.695115,0.0174,4.777166,0.0066,0.0109,7.40
15,4.661733,0.0195,4.788715,0.0048,0.0102,10.38
20,4.619253,0.0295,4.805398,0.0044,0.0088,13.39
25,4.564089,0.0386,4.829392,0.0048,0.0116,16.58
30,4.493079,0.0499,4.870399,0.0054,0.0109,19.80
35,4.401902,0.0646,4.940344,0.0062,0.0088,22.84
40,4.291432,0.0788,5.052217,0.0064,0.0143,26.08
45,4.162916,0.0914,5.200783,0.0068,0.0170,29.38
50,4.014378,0.1071,5.364067,0.0073,0.0191,32.67
55,3.845392,0.1434,5.535739,0.0101,0.0238,35.79
60,3.658858,0.1708,5.726898,0.0121,0.0293,38.94
65,3.457171,0.2056,5.951225,0.0177,0.0293,42.08
70,3.253980,0.2389,6.187952,0.0206,0.0374,45.31
75,3.055484,0.2817,6.403952,0.0259,0.0442,48.44
80,2.856072,0.3209,6.642160,0.0326,0.0504,51.67
85,2.652308,0.3599,6.890016,0.0403,0.0660,54.76
90,2.447368,0.4015,7.168250,0.0497,0.0817,57.75
95,2.239551,0.4451,7.470032,0.0608,0.0899,61.00
100,2.031566,0.4885,7.805843,0.0733,0.1001,64.03
105,1.822957,0.5552,8.163386,0.0860,0.1137,67.09
110,1.616759,0.6074,8.559707,0.1025,0.1307,70.06
115,1.415785,0.6652,8.995864,0.1169,0.1477,73.00
120,1.221742,0.7268,9.444667,0.1307,0.1579,75.76
125,1.041364,0.7870,9.933463,0.1451,0.1715,78.61
130,0.875195,0.8327,10.468728,0.1638,0.1852,81.37
135,0.727409,0.8676,11.041546,0.1780,0.1988,84.22
140,0.602877,0.8897,11.648906,0.1904,0.2069,87.14
145,0.501780,0.9006,12.272859,0.1990,0.2138,90.04
150,0.423742,0.9094,12.886484,0.2042,0.2212,92.92
155,0.365845,0.9133,13.475077,0.2082,0.2233,96.01
160,0.323689,0.9159,14.005009,0.2109,0.2253,98.79
165,0.292677,0.9183,14.472900,0.2125,0.2260,101.72
170,0.269282,0.9198,14.871516,0.2135,0.2267,104.65
175,0.251715,0.9206,15.209864,0.2150,0.2294,107.45
180,0.238088,0.9218,15.463467,0.2153,0.2280,110.49
185,0.226674,0.9212,15.666031,0.2154,0.2274,113.54
190,0.217025,0.9251,15.830296,0.2152,0.2274,116.57
195,0.208645,0.9271,15.964902,0.2149,0.2260,119.55
200,0.200916,0.9298,16.082663,0.2145,0.2253,122.55
205,0.195310,0.9295,16.191889,0.2138,0.2246,125.70
210,0.189155,0.9316,16.252831,0.2140,0.2212,129.58
215,0.183808,0.9324,16.304745,0.2138,0.2219,133.58
220,0.179006,0.9354,16.346819,0.2123,0.2240,137.26
225,0.174970,0.9339,16.383677,0.2121,0.2219,140.25
230,0.171006,0.9354,16.421108,0.2121,0.2219,143.24
235,0.166973,0.9369,16.452940,0.2115,0.2219,146.31
240,0.164038,0.9375,16.487463,0.2105,0.2212,149.20
245,0.159957,0.9389,16.514669,0.2107,0.2212,152.12
250,0.158505,0.9398,16.537796,0.2101,0.2178,155.06
255,0.155062,0.9404,16.559052,0.2096,0.2178,158.13
260,0.151776,0.9419,16.589848,0.2090,0.2192,161.00
265,0.147086,0.9422,16.598013,0.2088,0.2165,163.93
270,0.143871,0.9437,16.620195,0.2085,0.2172,166.89
275,0.140434,0.9442,16.630943,0.2086,0.2131,169.94
280,0.137115,0.9451,16.647243,0.2090,0.2151,173.13
285,0.134439,0.9460,16.658079,0.2088,0.2151,176.22
290,0.132907,0.9466,16.673000,0.2081,0.2131,179.15
295,0.130439,0.9475,16.669533,0.2083,0.2117,181.94
300,0.128722,0.9478,16.667522,0.2080,0.2144,184.85
305,0.127624,0.9478,16.664873,0.2078,0.2144,187.83
310,0.125069,0.9487,16.650209,0.2068,0.2144,190.70
315,0.123028,0.9507,16.630228,0.2059,0.2158,193.80
320,0.121037,0.9510,16.624672,0.2049,0.2144,196.65
325,0.118852,0.9522,16.629051,0.2046,0.2138,199.53
330,0.115768,0.9528,16.620827,0.2044,0.2151,202.44
335,0.113834,0.9537,16.612778,0.2047,0.2165,205.21
340,0.111698,0.9552,16.620136,0.2053,0.2138,207.93
345,0.109991,0.9555,16.637182,0.2049,0.2110,210.60
350,0.108999,0.9549,16.653582,0.2058,0.2131,213.29
355,0.109584,0.9534,16.650290,0.2044,0.2124,216.06
360,0.106445,0.9566,16.612440,0.2051,0.2097,218.80
365,0.104424,0.9581,16.590361,0.2057,0.2103,221.51
370,0.101088,0.9593,16.556673,0.2058,0.2131,224.39
375,0.098921,0.9599,16.549976,0.2062,0.2103,227.16
380,0.096594,0.9605,16.555893,0.2063,0.2097,230.07
385,0.094098,0.9614,16.579256,0.2053,0.2076,233.44
390,0.091881,0.9622,16.613131,0.2048,0.2097,236.53
395,0.089320,0.9628,16.630930,0.2057,0.2138,239.60
400,0.087796,0.9634,16.667187,0.2048,0.2124,242.59
405,0.085407,0.9634,16.683743,0.2048,0.2131,245.55
410,0.083323,0.9634,16.706635,0.2054,0.2144,248.40
415,0.081734,0.9649,16.728447,0.2052,0.2131,251.22
420,0.079577,0.9661,16.738783,0.2040,0.2124,254.31
425,0.077983,0.9664,16.745419,0.2059,0.2103,257.29
430,0.076530,0.9678,16.751692,0.2047,0.2124,260.20
435,0.077216,0.9696,16.735792,0.2059,0.2124,263.01
440,0.074435,0.9693,16.724426,0.2052,0.2097,265.89
445,0.072279,0.9702,16.720518,0.2052,0.2083,268.75
450,0.070127,0.9711,16.681326,0.2038,0.2090,271.46
455,0.069650,0.9717,16.653648,0.2043,0.2131,274.30
460,0.066995,0.9723,16.633310,0.2047,0.2131,277.13
465,0.064846,0.9735,16.619165,0.2061,0.2110,279.84
470,0.062636,0.9743,16.617537,0.2064,0.2131,282.63
475,0.060797,0.9752,16.631893,0.2071,0.2117,285.56
480,0.059418,0.9761,16.655008,0.2059,0.2131,288.35
485,0.058193,0.9776,16.681639,0.2062,0.2131,291.22
490,0.056956,0.9773,16.716925,0.2056,0.2138,294.22
495,0.056621,0.9761,16.746126,0.2044,0.2131,297.19
500,0.055345,0.9764,16.754520,0.2046,0.2117,299.97
505,0.053660,0.9779,16.758497,0.2030,0.2131,302.85
510,0.053319,0.9788,16.754725,0.2038,0.2124,305.75
515,0.052509,0.9791,16.739752,0.2028,0.2063,308.64
520,0.052683,0.9796,16.700352,0.2030,0.2056,311.65
525,0.051911,0.9796,16.664715,0.2034,0.2103,314.79
530,0.050177,0.9808,16.632479,0.2040,0.2103,317.69
535,0.048091,0.9802,16.613693,0.2038,0.2076,320.47
540,0.046344,0.9811,16.617113,0.2048,0.2076,323.30
545,0.046419,0.9823,16.629158,0.2037,0.2110,326.17
550,0.045572,0.9823,16.629698,0.2039,0.2103,328.87
555,0.044047,0.9826,16.624411,0.2043,0.2103,331.73
560,0.042874,0.9832,16.616936,0.2043,0.2103,334.77
565,0.041216,0.9832,16.609732,0.2024,0.2083,337.55
570,0.040047,0.9832,16.630295,0.2037,0.2083,340.38
575,0.038955,0.9841,16.631081,0.2037,0.2083,343.29
580,0.037897,0.9847,16.636589,0.2037,0.2090,346.15
