epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,5.037996,0.0091,4.859558,0.0080,0.0088,1.26
5,4.732349,0.0139,4.775363,0.0076,0.0082,4.40
10,4.692092,0.0177,4.773624,0.0072,0.0088,7.46
15,4.655043,0.0201,4.795140,0.0058,0.0088,10.68
20,4.605946,0.0381,4.812025,0.0053,0.0068,13.67
25,4.543885,0.0484,4.841917,0.0051,0.0075,16.63
30,4.463763,0.0611,4.894207,0.0052,0.0116,19.82
35,4.362270,0.0743,4.979372,0.0054,0.0088,22.94
40,4.239011,0.0847,5.108269,0.0062,0.0102,26.01
45,4.092456,0.1009,5.269360,0.0080,0.0109,29.29
50,3.922491,0.1301,5.454883,0.0090,0.0116,32.48
55,3.733951,0.1584,5.671848,0.0113,0.0136,35.73
60,3.530620,0.1973,5.917243,0.0131,0.0211,38.90
65,3.327668,0.2342,6.152423,0.0163,0.0252,42.06
70,3.133731,0.2646,6.375010,0.0195,0.0252,45.21
75,2.935943,0.3047,6.613229,0.0233,0.0320,48.22
80,2.738814,0.3381,6.866891,0.0286,0.0415,51.43
85,2.538422,0.3832,7.139240,0.0350,0.0497,54.51
90,2.334367,0.4289,7.438091,0.0436,0.0599,57.49
95,2.121921,0.4773,7.771559,0.0542,0.0715,60.57
100,1.903872,0.5298,8.170075,0.0643,0.0756,63.52
105,1.693985,0.5864,8.542399,0.0777,0.0878,66.48
110,1.480008,0.6475,8.952555,0.0928,0.0933,69.33
115,1.272207,0.7071,9.419120,0.1054,0.1042,72.20
120,1.069286,0.7737,9.940079,0.1176,0.1198,75.00
125,0.877041,0.8339,10.532018,0.1317,0.1307,78.03
130,0.700149,0.8808,11.181311,0.1466,0.1430,80.87
135,0.552924,0.9145,11.877000,0.1569,0.1545,83.84
140,0.433435,0.9378,12.526011,0.1661,0.1675,86.82
145,0.341186,0.9454,13.174509,0.1714,0.1729,89.78
150,0.274833,0.9516,13.825854,0.1746,0.1777,92.85
155,0.228328,0.9549,14.399318,0.1785,0.1831,96.01
160,0.194921,0.9558,14.911854,0.1798,0.1852,99.05
165,0.170746,0.9584,15.344279,0.1813,0.1872,102.06
170,0.153096,0.9596,15.698656,0.1834,0.1879,104.93
175,0.139809,0.9611,15.987015,0.1828,0.1872,107.75
180,0.129417,0.9637,16.220909,0.1820,0.1872,110.64
185,0.120799,0.9637,16.406397,0.1813,0.1879,113.65
190,0.113462,0.9664,16.558161,0.1818,0.1879,116.60
195,0.107067,0.9676,16.684566,0.1818,0.1858,119.56
200,0.101448,0.9676,16.791981,0.1813,0.1865,122.51
205,0.096664,0.9684,16.886438,0.1822,0.1858,125.62
210,0.092642,0.9708,16.962317,0.1822,0.1886,129.35
215,0.088946,0.9699,17.031034,0.1817,0.1899,133.52
220,0.085425,0.9702,17.095169,0.1812,0.1858,137.18
225,0.082566,0.9714,17.163965,0.1815,0.1845,140.37
230,0.079218,0.9726,17.215588,0.1809,0.1852,143.22
235,0.076421,0.9729,17.259546,0.1808,0.1858,146.08
240,0.074294,0.9729,17.300665,0.1796,0.1845,149.08
245,0.072250,0.9726,17.336004,0.1794,0.1831,151.93
250,0.069732,0.9743,17.364737,0.1793,0.1831,154.77
255,0.067364,0.9752,17.391832,0.1802,0.1831,157.78
260,0.065251,0.9761,17.417336,0.1802,0.1804,160.77
265,0.062643,0.9782,17.450071,0.1788,0.1777,163.64
270,0.059641,0.9773,17.474655,0.1786,0.1797,166.48
275,0.057987,0.9788,17.509781,0.1794,0.1777,169.54
280,0.055105,0.9802,17.527241,0.1789,0.1811,172.45
285,0.053436,0.9802,17.547466,0.1785,0.1804,175.38
290,0.051477,0.9802,17.561165,0.1794,0.1804,178.33
295,0.049867,0.9802,17.576874,0.1798,0.1818,181.46
300,0.048189,0.9814,17.587763,0.1794,0.1811,184.30
305,0.046750,0.9826,17.602709,0.1785,0.1784,187.39
310,0.045154,0.9829,17.615324,0.1788,0.1743,190.36
315,0.043656,0.9826,17.629345,0.1780,0.1729,193.44
320,0.042453,0.9826,17.648149,0.1793,0.1709,196.59
325,0.041654,0.9832,17.668959,0.1790,0.1702,199.75
330,0.040586,0.9829,17.680470,0.1788,0.1729,202.85
335,0.039641,0.9835,17.681589,0.1789,0.1749,205.60
340,0.038841,0.9835,17.682201,0.1793,0.1722,208.35
345,0.037928,0.9850,17.679249,0.1790,0.1736,211.13
350,0.037148,0.9841,17.674850,0.1793,0.1709,213.88
355,0.036957,0.9847,17.648127,0.1785,0.1722,216.61
360,0.035994,0.9853,17.620018,0.1794,0.1743,219.40
365,0.035593,0.9855,17.578127,0.1786,0.1681,222.19
370,0.035051,0.9858,17.521212,0.1785,0.1702,224.83
375,0.033664,0.9864,17.467041,0.1788,0.1688,227.50
380,0.032291,0.9870,17.425304,0.1786,0.1709,230.52
385,0.031430,0.9870,17.404415,0.1788,0.1688,233.78
390,0.030629,0.9876,17.391386,0.1793,0.1681,236.80
395,0.029807,0.9882,17.389662,0.1795,0.1688,239.84
400,0.029834,0.9882,17.400229,0.1796,0.1668,242.86
405,0.029224,0.9882,17.403114,0.1788,0.1661,245.72
410,0.028824,0.9876,17.421986,0.1779,0.1688,248.51
415,0.028010,0.9876,17.433475,0.1781,0.1695,251.36
420,0.027190,0.9885,17.462187,0.1783,0.1688,254.09
425,0.026313,0.9894,17.479763,0.1791,0.1675,256.99
430,0.025394,0.9897,17.513435,0.1793,0.1668,259.66
435,0.024683,0.9897,17.534151,0.1786,0.1668,262.44
440,0.025630,0.9897,17.554287,0.1785,0.1668,265.19
445,0.024099,0.9909,17.550140,0.1786,0.1695,268.17
450,0.024982,0.9914,17.541508,0.1769,0.1627,270.99
455,0.023497,0.9912,17.490540,0.1771,0.1654,273.92
460,0.022007,0.9920,17.453674,0.1783,0.1641,276.80
465,0.020781,0.9926,17.420544,0.1772,0.1641,279.70
470,0.019786,0.9923,17.404396,0.1783,0.1681,282.41
475,0.019032,0.9926,17.403076,0.1799,0.1675,285.10
480,0.018345,0.9926,17.416088,0.1791,0.1661,287.96
485,0.017827,0.9929,17.432735,0.1789,0.1675,290.88
490,0.017271,0.9932,17.456463,0.1788,0.1668,293.77
495,0.016648,0.9929,17.491671,0.1798,0.1675,296.82
500,0.016065,0.9938,17.529112,0.1794,0.1675,299.75
505,0.015528,0.9950,17.576504,0.1788,0.1688,302.55
510,0.015054,0.9941,17.620852,0.1791,0.1681,305.53
515,0.014277,0.9941,17.663935,0.1784,0.1681,308.45
520,0.014055,0.9947,17.713835,0.1789,0.1695,311.26
525,0.014840,0.9947,17.761700,0.1775,0.1729,314.61
530,0.014388,0.9947,17.753614,0.1774,0.1702,317.59
535,0.013501,0.9947,17.786736,0.1774,0.1715,320.49
540,0.012913,0.9947,17.807896,0.1786,0.1729,323.45
545,0.012433,0.9950,17.829185,0.1776,0.1715,326.30
550,0.012057,0.9950,17.858171,0.1780,0.1722,329.05
555,0.011943,0.9953,17.876574,0.1769,0.1709,331.86
560,0.011192,0.9953,17.879820,0.1783,0.1729,334.68
565,0.010892,0.9962,17.883013,0.1780,0.1729,337.80
570,0.010730,0.9956,17.899881,0.1779,0.1715,340.81
575,0.010247,0.9953,17.908405,0.1789,0.1729,343.68
580,0.009955,0.9965,17.941833,0.1780,0.1729,346.74
585,0.009466,0.9962,17.974392,0.1777,0.1756,349.69
590,0.009383,0.9962,18.002880,0.1785,0.1729,352.46
595,0.009232,0.9968,18.032648,0.1784,0.1743,355.19
600,0.010421,0.9971,18.071108,0.1771,0.1709,357.95
605,0.012585,0.9959,18.138870,0.1746,0.1647,360.71
610,0.011978,0.9965,18.038235,0.1733,0.1634,363.44
615,0.011012,0.9976,17.929667,0.1764,0.1722,366.26
620,0.009464,0.9976,17.850563,0.1767,0.1722,369.10
625,0.008241,0.9976,17.814266,0.1765,0.1715,371.86
630,0.007686,0.9973,17.764782,0.1765,0.1763,374.68
635,0.007259,0.9979,17.729061,0.1770,0.1770,377.48
640,0.006980,0.9979,17.702999,0.1769,0.1743,380.40
645,0.006787,0.9982,17.683783,0.1776,0.1743,383.33
650,0.006622,0.9982,17.654705,0.1766,0.1756,386.46
655,0.006412,0.9982,17.627995,0.1781,0.1756,389.37
660,0.006141,0.9985,17.606216,0.1777,0.1756,392.33
665,0.005842,0.9985,17.602972,0.1783,0.1736,395.27
670,0.005568,0.9982,17.620705,0.1780,0.1743,398.28
675,0.005384,0.9985,17.651148,0.1781,0.1743,401.29
680,0.005310,0.9985,17.691902,0.1777,0.1729,404.30
685,0.005069,0.9988,17.727978,0.1779,0.1736,407.06
690,0.004947,0.9988,17.771019,0.1780,0.1749,409.82
695,0.004696,0.9988,17.817009,0.1775,0.1743,412.87
700,0.004465,0.9988,17.866684,0.1771,0.1736,415.69
705,0.004408,0.9988,17.924459,0.1769,0.1722,418.61
710,0.004181,0.9988,17.973230,0.1774,0.1715,421.71
715,0.004176,0.9988,18.018343,0.1776,0.1736,424.54
720,0.004069,0.9988,18.057899,0.1772,0.1729,427.41
725,0.003752,0.9991,18.094267,0.1775,0.1729,430.35
730,0.003572,0.9991,18.134857,0.1776,0.1743,433.31
735,0.003398,0.9991,18.179110,0.1774,0.1743,436.32
740,0.003316,0.9991,18.230705,0.1772,0.1729,439.37
745,0.003331,0.9991,18.280989,0.1770,0.1749,442.25
750,0.003123,0.9991,18.323935,0.1771,0.1749,445.17
755,0.003164,0.9991,18.363848,0.1766,0.1756,448.14
760,0.003006,0.9991,18.405350,0.1770,0.1749,450.93
765,0.002931,0.9991,18.448715,0.1774,0.1743,453.76
770,0.002937,0.9991,18.493361,0.1780,0.1743,456.57
775,0.002879,0.9991,18.532389,0.1774,0.1756,459.42
780,0.002749,0.9991,18.568708,0.1772,0.1756,462.15
785,0.002584,0.9994,18.607389,0.1765,0.1743,464.86
790,0.002369,0.9994,18.659388,0.1772,0.1763,467.61
795,0.002331,0.9994,18.730742,0.1765,0.1756,470.44
800,0.002170,0.9994,18.792997,0.1764,0.1770,473.21
805,0.002107,0.9994,18.851248,0.1765,0.1763,475.98
